Deal Date,Deal Sub-Category,Acquirer Company / Merger Participant 1,Target Company / Merger Participant 2,Deal Value,Deal Headline
11/4/2014,Majority Acquisition,Sigma-Aldrich Corporation,Cell Marque Corporation,,Sigma-Aldrich acquires Cell Marque,
11/4/2014,Exit,--,"Inogen, Inc.",,Novo and Arboretum Ventures sell stake in Inogen through public offering,
11/4/2014,Majority Acquisition,Alivira Animal Health Limited,"Provet Veterinary Products, Ltd.",,Alivira Animal Health acquires 60% stake in Provet Veterinary Products,
11/3/2014,Exit,"PDI, Inc.","RedPath Integrated Pathology, Inc.",,Consortium of investors sells RedPath Integrated Pathology to PDI,
11/3/2014,Majority Acquisition,Laboratory Corporation of America Holdings,"Covance, Inc.","6,100.00 ",Laboratory Corporation of America Holdings (LabCorp) to acquire Covance,
4/2/2012,100% Acquisition,Linkwell Corporation,"Metamining Nevada, Inc.",0.20 ,Linkwell to acquire Metamining Nevada from Metamining,
11/3/2014,Majority Acquisition,"Catalent, Inc.",Micron Technologies Inc.,,Catalent acquires Micron Technologies from Arlington Capital Partners,
11/3/2014,Exit,"Catalent, Inc.",Micron Technologies Inc.,,Arlington Capital Partners sells Micron Technologies to Catalent,
1/18/2011,100% Acquisition,"China Nonferrous Metals Resource Geological Survey, Inc.",Wanxin Bio-Technology Limited,0.20 ,China Nonferrous Metals acquires 100% of Wanxin Bio-Technology from Sinobiomed,
8/1/2009,100% Acquisition,Adventa Berhad,Cytotec (M) Sdn. Bhd.,0.20 ,ADVENTA acquires 100% stake in Cytotec,
10/31/2014,Majority Acquisition,"SteriGenics International, Inc.",GAMMARAD ITALIA S.p.A,,Sterigenics acquires GAMMARAD,
10/30/2014,"DIRECT INVESTMENT,Minority Acquisition","Abingworth Management Limited|Aisling Capital|HBM Healthcare Investments Ltd|InterWest Partners LLC|Omega Funds|Roumell Asset Management, LLC|The Baupost Group, L.L.C.|Undisclosed Investors*","Paratek Pharmaceuticals, Inc.",93.00 ,Paratek Pharmaceuticals raises $93 million in financing,
10/30/2014,Majority Acquisition,--,"Paratek Pharmaceuticals, Inc.|Paratek Pharmaceuticals, Inc. (formerly Transcept Pharmaceuticals, Inc.)",,Paratek Pharmaceuticals mergers Transcept Pharmaceuticals,
10/29/2014,Exit,"Charles River Laboratories International, Inc.","ChanTest, Inc.",,Ampersand Capital Partners exits investment in ChanTest,
10/29/2014,"DIRECT INVESTMENT,Minority Acquisition","AJU IB Investment Co., Ltd|Apple Tree Partners|Excel Venture Management|Lilly Ventures|Novartis Venture Funds|Roche Venture Fund|SR One|Undisclosed Investors*","Aileron Therapeutics, Inc.",33.00 ,Aileron Therapeutics closes $33 million Series E financing,
10/29/2014,Majority Acquisition,"Charles River Laboratories International, Inc.","ChanTest, Inc.",54.00 ,Charles River Laboratories acquires ChanTest,
10/29/2014,Majority Acquisition,Creganna Medical Devices,Precision Wire Components LLC,,Creganna-Tactx Medical to acquire Precision Wire Components,
10/28/2014,Asset Purchase,ZOLL Medical Corporation,"Impact Instrumentation, Inc. - Assets",,ZOLL Medical to acquire assets of Impact Instrumentation,
10/27/2014,Majority Acquisition,"Zogenix, Inc.",Brabant Pharma,35.00 ,Zogenix acquires Brabant Pharma,
10/27/2014,Asset Purchase,"MPI Research, Inc.","Jasper Clinical Research &amp; Development, Inc. - Assets",,MPI Research acquires assets of Jasper Clinical Research & Development,
10/27/2014,--,--,"Tornier N.V. (formerly Tornier B.V.)|Wright Medical Group, Inc.","3,300.00 ",Wright Medical Group to merge with Tornier,
10/27/2014,"DIRECT INVESTMENT,Majority acquisition","Metalmark Capital, LLC","Collagen Matrix, Inc.",,Collagen Matrix receives investment from Metalmark Capital,
10/27/2014,Asset Purchase,Integra LifeSciences Holdings Corporation,"Medtronic, Inc. - MicroFrance and Xomed Manual ENT and Laparoscopy Instrumentation Lines",60.00 ,Integra LifeSciences acquires microfrance and xomed manual ENT and laparoscopy instrumentation lines of Medtronic,
7/13/2009,100% Acquisition,"Synthetic Biologics, Inc. (formerly Adeona Pharmaceuticals, Inc.)",HartLab LLC,0.20 ,Adeona Pharmaceuticals acquires HartLab,
10/27/2014,"Majority acquisition,None",Gryphon Investors,"C.B. Fleet Company, Inc.",,Gryphon Investors acquires majority stake in C.B. Fleet Company,
10/27/2014,Asset Purchase,"CTI BioPharma Corp. (formerly Cell Therapeutics, Inc.)","Chroma Therapeutics, Ltd. - Assets",21.30 ,CTI BioPharma acquires assets of Chroma Therapeutics,
10/27/2014,Majority Acquisition,"MedTest Holdings, Inc.","Clinitox Diagnostix, Inc.",,MedTest to acquire Clinitox Diagnostix,
10/27/2014,Minority Acquisition,Alembic Pharma Limited,Adwiya Mami SARL,,Alembic Pharmaceuticals to acquire 49% stake in Adwiya Mami,
10/26/2014,Asset Purchase,CSL Limited,Novartis AG - Influenza vaccines business,275.00 ,CSL to acquire Novartis' influenza vaccine business,
10/24/2014,Minority Acquisition,"Shandong Luye Pharmaceutical Co., Ltd.","Beijing Jialin Pharmaceutical Co., Ltd.",393.60 ,Shandong Luye Pharmaceutical to acquire remaining 42.02% stake in Beijing Jialin Pharmaceutical,
10/23/2014,Majority Acquisition,"Globus Medical, Inc.","Transplant Technologies of Texas, Ltd.",,Globus Medical acquires Transplant Technologies of Texas,
10/23/2014,Demerger / Spin-off,--,Costanoan Immunotherapies,,PolyBatics spins out Costanoan Immunotherapies,
10/22/2014,Demerger / Spin-off,--,Innocrin Pharmaceuticals Inc,,Viamet pharmaceuticals spins out Innocrin Pharmaceuticals,
10/22/2014,--,--,"Estill Medical Technologies Inc|OxySure Systems, Inc.",,OxySure Systems announces merger with Estill Medical Technologies,
10/22/2014,"DIRECT INVESTMENT,Minority Acquisition","Hercules Technology Growth Capital|Psilos Group Managers, LLC","Gamma Medica, Inc.",11.50 ,Gamma Medica raises $11.5 million in growth financing,
10/22/2014,Majority Acquisition,"Acorda Therapeutics, Inc.","Civitas Therapeutics, Inc.",525.00 ,Acorda Therapeutics acquires Civitas Therapeutics,
10/21/2014,"DIRECT INVESTMENT,Minority Acquisition",Next Level Ventures,"VIDA Diagnostics, Inc.",2.00 ,VIDA Diagnostics closes financing round,
10/21/2014,"DIRECT INVESTMENT,Minority Acquisition",Sorin S.p.A.,"Respicardia, Inc (formerly Cardiac Concepts, Inc.)",20.00 ,Sorin invests $20 million in Respicardia,
10/21/2014,Asset Purchase,Eurofins Genomics,VBC-Biotech Service GmbH - Assets,,Eurofins Genomics acquires oligonucleotide synthesis and DNA sequencing business from VBC-Biotech,
10/20/2014,"DIRECT INVESTMENT,Minority Acquisition",Prolog Ventures|Undisclosed Investors*,"Veran Medical Technologies, Inc.",12.00 ,Veran Medical Technologies raises $12 million in new financing,
10/17/2014,Majority Acquisition,Alcon Inc.,"WaveTec Vision Systems, Inc.",,Alcon acquires WaveTec Vision Systems,
10/17/2014,Majority Acquisition,"Spacelabs Healthcare, Inc.",Metrax GmbH,,Spacelabs Healthcare acquires Metrax,
10/16/2014,"DIRECT INVESTMENT,Minority Acquisition","|Frontline BioVentures|OrbiMed Advisors, LLC|SB China Venture Capital|Sungent BioVenture","MID Labs, Ltd.",51.00 ,MID Labs raises $51 million in funding round,
10/16/2014,Majority Acquisition,"Bone Biologics, Inc.","Bone Biologics, Corp. (formerly AFH Acquisition X, Inc.)",,Bone Biologics acquires AFH Acquisition X,
10/15/2014,"DIRECT INVESTMENT,Minority Acquisition",Perceptive Advisors LLC,"Zynerba Pharmaceuticals, Inc.",13.00 ,Zynerba Pharmaceuticals raises $13 million in financing,
10/15/2014,--,--,"BREG, Inc.|United Orthopedic Group",,Breg merges with United Orthopedic Group,
10/15/2014,"DIRECT INVESTMENT,Minority Acquisition","Eminent Venture Capital Corp|Flagship Ventures|I2BF Global Ventures|Leukon Investments|NanoDimension Management Limited|OrbiMed Advisors, LLC|Polaris Partners|RUSNANO|Undisclosed Investors*","Selecta Biosciences, Inc.",20.00 ,Selecta Biosciences secures $20 million in equity funding,
10/15/2014,Majority Acquisition,Glanbia plc,"The Isopure Company, LLC",153.00 ,Glanbia acquires Isopure,
10/23/2008,100% Acquisition,Protech Global Holdings Corporation,Protech Biosystems Private Limited,0.20 ,Protech Global Holdings acquires Protech Biosystems,
10/15/2014,"Majority acquisition,None",Blue Cap AG,em-tec GmbH,,Blue Cap acquires em-tec,
10/14/2014,Majority Acquisition,"Trivitron Healthcare Pvt., Ltd.","Imaging Products India Pvt., Ltd.",,Trivitron Healthcare acquires Imaging Products India,
10/14/2014,"DIRECT INVESTMENT,Minority Acquisition","Mercury Fund|Morningside Venture Investments, Ltd.|Targeted Technology Fund|Undisclosed Investors*","DNAtrix, Inc",20.00 ,DNAtrix secures $20 million in Series B equity financing,
10/14/2014,Majority Acquisition,"Trivitron Healthcare Pvt., Ltd.","Kiran Medical Systems, Ltd.",,Trivitron Healthcare acquires remaining stake in Kiran Medical Systems,
10/13/2014,Majority Acquisition,"Becton, Dickinson and Company","GenCell Biosystems, Ltd.",,"Becton, Dickinson and Company (BD) acquires GenCell Biosystems",
10/13/2014,Majority Acquisition,Abingdon Health,Serascience Limited,,Abingdon Health acquires Serascience,
10/12/2014,Majority Acquisition,"Biocare Medical, LLC","CymoGen Dx, LLC",,Biocare Medical acquires CymoGen Dx,
10/10/2014,Majority Acquisition,Meda AB,Rottapharm SpA,"2,955.90 ",Meda acquires Rottapharm,
10/10/2014,Majority Acquisition,Merry X-Ray Corporation,Pacesetter Medical Imaging (PMI),,Merry X-Ray acquires Pacesetter Medical Imaging,
10/9/2014,Majority Acquisition,Centurion Medical Products,"Mirador Biomedical, Inc.",,Centurion Medical Products acquires Mirador Biomedical,
10/9/2014,Majority Acquisition,"Impax Laboratories, Inc. (formerly Global Pharmaceutical Corporation)","Amedra Pharmaceuticals, LLC|CorePharma LLC|Lineage Therapeutics, Inc.|Tower Holdings, Inc.",700.00 ,"Impax to acquire Tower Holdings, CorePharma, Amedra Pharmaceuticals and Lineage Therapeutics",
10/9/2014,Exit,"Impax Laboratories, Inc. (formerly Global Pharmaceutical Corporation)","Amedra Pharmaceuticals, LLC|CorePharma LLC|Lineage Therapeutics, Inc.|Tower Holdings, Inc.",700.00 ,RoundTable Healthcare to sell Tower Holdings and Lineage Therapeutics to Impax Laboratories,
10/9/2014,Minority Acquisition,GlaxoSmithKline plc,Aspen Japan K.K.,,GlaxoSmithKline to acquire 25% stake in Aspen Japan,
2/2/2000,100% Acquisition,Lexon Inc,"Cancer Diagnostics, Inc.",0.20 ,Lexon acquires exclusive rights to Blood Test for Lung Cancer,
10/8/2014,Majority Acquisition,"CooperSurgical, Inc.",Endosee Corporation,44.00 ,CooperSurgical acquires EndoSee,
10/7/2014,"DIRECT INVESTMENT,Minority Acquisition",Arboretum Ventures|Lumira Capital Investment Management Inc|M.H. Carnegie &amp; Co.,"Cardiac Dimensions, Inc.",8.50 ,Cardiac Dimensions raises $8.5 million in financing round,
10/7/2014,Demerger / Spin-off,--,"BioSurfaces, Inc.",,NuVascular Technologies spins out BioSurfaces,
10/7/2014,Demerger / Spin-off,--,"Halyard Health, Inc.",,Kimberly-Clark announces details for completion of Kimberly-Clark healthcare spin-off,
10/6/2014,"DIRECT INVESTMENT,Minority Acquisition",Rangatira Limited,Magritek Limited,,Rangatira increases stake in Magritek,
10/6/2014,Majority Acquisition,P&amp;R Group (Italy),Biofarmitalia S.p.A,,P&R acquires Biofarmitalia,
10/1/2012,100% Acquisition,"Orthoconcept Quebec, Inc.","Laboratoire Podotech, Inc.",0.30 ,Ergoresearch acquires 100% of Laboratoire Podotech,
10/6/2014,"DIRECT INVESTMENT,Minority Acquisition","Dolby Family Ventures, L.P.|Undisclosed Investors*","PharmatrophiX, Inc.",5.50 ,PharmatrophiX raises $5.5 million in first funding round,
10/5/2014,Majority Acquisition,"Becton, Dickinson and Company",CareFusion Corporation,"12,200.00 ","Becton, Dickinson to acquire Carefusion",
10/3/2014,Majority Acquisition,"Soluble Therapeutics, Inc.","Dilyx Biotechnologies, LLC",,Soluble Therapeutics acquires Dilyx Biotechnologies,
10/3/2014,Asset Purchase,"Nature’s Products, Inc.","Nutri-Health Supplements, LLC - Assets",,Nature's Products acquires assets of Nutri-Health Supplements,
10/2/2014,Asset Purchase,"Santen Pharmaceutical Co., Ltd.","Merck &amp; Co., Inc. - Ophthalmology assets",50.00 ,Santen Pharmaceutical acquires remaining ophthalmology assets of Merck,
10/2/2014,Minority Acquisition,"Quest PharmaTech, Inc. (formerly Altachem Pharma, Ltd.)","Bioceltran Co., Ltd.",,Quest PharmaTech acquires 38% stake in Bioceltran,
10/2/2014,Majority Acquisition,Merry X-Ray Corporation,"Wolverine X-Ray Sales and Service, Inc.|Wolverine X-Ray West, Inc.",,Merry X-Ray acquires Wolverine X-Ray Sales and Service and Wolverine X-Ray West,
10/2/2014,Majority Acquisition,"Laborie Medical Technologies, Inc.","Unisensor AG|Unisensor USA, Inc.",,Laborie Medical Technologies acquires Unisensor and Unisensor USA,
10/2/2014,Minority Acquisition,"Catalent Pharma Solutions, Inc.","Redwood Bioscience, Inc.",,Catalent Pharma Solutions acquires remaining stake in Redwood Bioscience,
10/2/2014,"DIRECT INVESTMENT,Minority Acquisition",Business Growth Fund,Molecular Products Group Limited (MPG),6.50 ,Molecular Products Group raises $6.479 million in financing,
10/2/2014,Majority Acquisition,Anglo Gulf Limited,"SciGen BioPharma Pvt., Ltd.",7.00 ,SciGen sells 50.01% of SciGen BioPharma to Anglo Gulf,
10/1/2014,Majority Acquisition,Recipharm AB,Corvette Group S.p.A.,154.10 ,Recipharm acquires Corvette from LBO Italia Investimenti,
10/1/2014,Exit,Recipharm AB,Corvette Group S.p.A.,154.10 ,LBO Italia Investimenti sells Corvette Group to Recipharm,
10/1/2014,Majority Acquisition,"Harvard Bioscience, Inc.",Multi Channel Systems MCS GmbH,9.50 ,Harvard Bioscience acquires Multi Channel Systems,
10/1/2014,Majority Acquisition,"Harvard Bioscience, Inc.","Triangle BioSystems, Inc.",1.60 ,Harvard Bioscience acquires Triangle BioSystems,
10/1/2014,Asset Purchase,"Zimmer Holdings, Inc.","ETEX Holdings, Inc. - Business",,Zimmer Holdings acquires business of ETEX Holdings,
10/1/2014,Majority Acquisition,"Immucor, Inc.","Sentilus, Inc.",,Immucor acquires Sentilus,
10/1/2014,Majority Acquisition,"Sagent Pharmaceuticals, Inc.",Omega Laboratories Limited,85.30 ,Sagent Pharmaceuticals acquires Omega Laboratories,
8/15/2011,100% Acquisition,"Atos Wellness, Ltd.","Australian Healthcare Enterprises Pty., Ltd.",0.30 ,Atos Wellness to acquire 100% stake in Australian Healthcare Enterprises,
10/1/2014,"DIRECT INVESTMENT,Minority Acquisition",Capital Croissance PME,"JSS Medical Research, Inc.",,JSS Medical Research receives equity funding from Capital Croissance PME,
10/1/2014,Asset Purchase,"ReproCELL, Inc.","Stemgent, Inc. - iPS Cell Business Unit",,ReproCELL completes acquisition of iPS cell business unit of Stemgent,
10/1/2014,Asset Purchase,Ipca Laboratories Limited,"Alpa Laboratories, Ltd. - Manufacturing Unit",12.00 ,Ipca Laboratories acquires manufacturing unit from Alpa Laboratories,
10/1/2014,Majority Acquisition,Mercury Pharma Group Limited (formerly Goldshield Group plc),Focus Pharmaceuticals,,Mercury Pharma acquires Focus Pharmaceuticals,
6/7/2010,100% Acquisition,"Huiheng Medical, Inc.","Portola Medical, Inc.",0.30 ,Huiheng Medical acquires Portola Medical,
10/1/2014,Asset Purchase,Bayer AG,"Merck &amp; Co., Inc. - Consumer Care Business","14,200.00 ",Bayer acquires consumer care business of Merck,
9/30/2014,--,--,"Ally Pharma US, Inc.|TPT Global Tech, Inc.",,Ally Pharma merges with TPT Global Tech,
9/30/2014,Minority Acquisition,"Chengdu Tianyin Pharmaceutical Co., Ltd.","Sichuan Jiangchuan Pharmaceutical Co., Ltd.",2.40 ,Chengdu Tianyin acquires remaining 13% stake in Sichuan Jiangchuan Pharmaceutical,
8/13/2009,100% Acquisition,Pacgen Life Science Corporation (formerly Pacgen Biopharmaceuticals Corporation),"Xphase Pharmaceuticals, Inc.",0.30 ,Pacgen Biopharmaceuticals acquires Xphase Pharmaceuticals,
8/4/2006,100% Acquisition,Comvita Limited,NZ Vitalife Ltd,0.30 ,New Acquisition Grows Non-Bee Health Product Range for Comvita,
9/30/2014,"DIRECT INVESTMENT,Minority Acquisition",CapDecisif Management|G1J-Ile de France|Ouest Ventures II fund|Pradeyrol Developpement|Undisclosed Investors*|Val de France Angels,VitamFero SAS,3.40 ,VitamFero closes $3.425 million third round financing,
9/30/2014,"DIRECT INVESTMENT,Minority Acquisition","Alopexx Enterprises, LLC|Inventages Venture Capital|Launchpad Venture Group LLC","Cognoptix, Inc.",,Cognoptix closes first tranche of Series D financing,
9/30/2014,Majority Acquisition,"WuXi PharmaTech (Cayman), Inc.","XenoBiotic Laboratories, Inc.",,WuXi PharmaTech acquires XenoBiotic Laboratories,
4/13/2006,100% Acquisition,Halma p.l.c.,Mikropack GmbH,0.30 ,Halma acquires Mikropack,
9/30/2014,Majority Acquisition,"Cellular Biomedicine Group, Inc.","Agreen Biotech Co., Ltd.",3.30 ,Cellular Biomedicine Group acquires Agreen Biotech,
9/30/2014,Majority Acquisition,"Premier, Inc.","TheraDoc, Inc.",117.00 ,Premier acquires TheraDoc,
8/26/2004,100% Acquisition,Blue Cross and Blue Shield Association,Prime Therapeutics LLC,0.30 ,Blue Cross and Blue Shield acquires ownership interest in Prime Therapeutics,
9/29/2014,"DIRECT INVESTMENT,Minority Acquisition",GMS Holding,Stelis Biopharma Private Limited (Formerly Agila Biotech Private Limited),21.90 ,GMS Holding to invest in Stelis Biopharma,
9/29/2014,Majority Acquisition,Chiltern International Limited,Pacific Clinical Research Pte. Ltd.,,Chiltern acquires Pacific Clinical Research,
9/29/2014,Majority Acquisition,Strides Arcolab Limited,Shasun Pharmaceuticals Limited,200.00 ,Strides Arcolab to acquire Shasun Pharma,
9/29/2014,Asset Purchase,Perrigo Company plc (formerly Perrigo Company Limited),"Lumara Health, Inc. – Healthcare Business",85.00 ,Perrigo to acquire women's healthcare products of Lumara Health,
3/18/2011,100% Acquisition,MITRX Corporation,"Fitte Enterprises, Inc.",0.40 ,MITRX to acquire Fitte Enterprises (CRD MedServices),
9/29/2014,Minority Acquisition,"Horizon Discovery, Ltd.","Sigma Advanced Genetic Engineering Labs, Inc.",48.00 ,Horizon Discovery to acquire Sage Labs,
4/24/2008,100% Acquisition,"China Sky One Medical, Inc.","Heilongjiang Haina Pharmaceutical, Inc.",0.40 ,China Sky One Medical acquires Heilongjiang Haina Pharmaceutical,
9/26/2014,Majority Acquisition,Abbott Laboratories,CFR Pharmaceuticals S.A. (Formerly Corporacion Farmaceutica Recalcine),"2,900.00 ",Abbott Laboratories acquires CFR Pharmaceuticals,
9/25/2014,Minority Acquisition,"Pharmaceutical Product Development, Inc.","X-Chem, Inc.",,Pharmaceutical Product Development exercises option to acquire remaining stake in X-Chem,
